User ID,Age Group,Gender,Preferred Shopping Website,Average Monthly Spend (INR),Device Used,Payment Method,Purchase Frequency,Return Rate (%),Most Purchased Category
U2751,19-30,Male,Myntra,1000-5000,Tablet,UPI,Weekly,30%,Electronics
U5591,19-30,Female,Flipkart,5000-10000,Tablet,Cash on Delivery,Weekly,30%,Groceries
U5108,0-18,Male,Amazon,10000+,Laptop,Cash on Delivery,Weekly,30%,Clothing
U6966,19-30,Female,Amazon,1000-5000,Tablet,UPI,Weekly,30%,Electronics
U4208,31-50,Male,Amazon,1000-5000,Mobile,UPI,Daily,20%,Electronics
U7473,19-30,Male,Myntra,1000-5000,Laptop,UPI,Daily,20%,Electronics
U6447,0-18,Male,Myntra,1000-5000,Laptop,UPI,Weekly,30%,Electronics
U7853,31-50,Male,Amazon,10000+,Mobile,Credit Card,Weekly,10%,Electronics
U8568,19-30,Male,Myntra,10000+,Tablet,UPI,Weekly,10%,Clothing
U6798,31-50,Female,Myntra,5000-10000,Mobile,Cash on Delivery,Weekly,20%,Electronics
U3727,31-50,Male,Flipkart,10000+,Tablet,Cash on Delivery,Daily,30%,Groceries
U1361,19-30,Male,Myntra,10000+,Tablet,Cash on Delivery,Weekly,10%,Electronics
U6527,31-50,Male,Flipkart,10000+,Laptop,Credit Card,Daily,20%,Clothing
U2085,0-18,Male,Myntra,5000-10000,Tablet,Cash on Delivery,Daily,10%,Clothing
U8984,0-18,Male,Flipkart,1000-5000,Mobile,UPI,Weekly,30%,Electronics
U7270,31-50,Female,Flipkart,1000-5000,Laptop,Credit Card,Monthly,10%,Clothing
U6595,19-30,Male,Flipkart,1000-5000,Mobile,Credit Card,Daily,10%,Groceries
U1187,31-50,Male,Flipkart,5000-10000,Tablet,Credit Card,Monthly,30%,Groceries
U6306,0-18,Female,Amazon,5000-10000,Laptop,Credit Card,Daily,30%,Electronics
U3760,31-50,Male,Myntra,10000+,Mobile,Cash on Delivery,Daily,10%,Groceries
U1028,0-18,Male,Amazon,1000-5000,Laptop,UPI,Monthly,20%,Electronics
U2996,31-50,Male,Myntra,5000-10000,Laptop,Credit Card,Daily,30%,Electronics
U6696,31-50,Female,Myntra,1000-5000,Mobile,UPI,Monthly,20%,Electronics
U3100,0-18,Female,Myntra,5000-10000,Tablet,Cash on Delivery,Monthly,20%,Clothing
U7088,19-30,Female,Myntra,1000-5000,Mobile,UPI,Daily,10%,Clothing
U4877,31-50,Female,Flipkart,1000-5000,Tablet,Cash on Delivery,Weekly,30%,Electronics
U9636,0-18,Male,Amazon,1000-5000,Tablet,Cash on Delivery,Monthly,10%,Clothing
U6912,0-18,Female,Amazon,1000-5000,Tablet,Credit Card,Weekly,30%,Groceries
U4052,19-30,Male,Flipkart,10000+,Mobile,Credit Card,Weekly,10%,Electronics
U9155,31-50,Male,Myntra,5000-10000,Laptop,Credit Card,Monthly,30%,Groceries
U4254,0-18,Male,Amazon,5000-10000,Mobile,Credit Card,Weekly,10%,Groceries
U5977,0-18,Male,Amazon,10000+,Tablet,Credit Card,Monthly,10%,Groceries
U9299,19-30,Male,Flipkart,10000+,Mobile,Cash on Delivery,Weekly,10%,Electronics
U9089,31-50,Male,Flipkart,5000-10000,Tablet,Cash on Delivery,Monthly,30%,Clothing
U9716,19-30,Female,Amazon,5000-10000,Laptop,UPI,Daily,30%,Clothing
U7199,0-18,Male,Amazon,5000-10000,Laptop,Credit Card,Daily,30%,Electronics
U4997,19-30,Female,Amazon,5000-10000,Laptop,Cash on Delivery,Daily,20%,Electronics
U5141,0-18,Female,Flipkart,1000-5000,Tablet,Credit Card,Monthly,20%,Clothing
U6027,31-50,Male,Myntra,5000-10000,Laptop,UPI,Monthly,30%,Clothing
U8021,19-30,Female,Flipkart,1000-5000,Mobile,Cash on Delivery,Daily,20%,Clothing
U9981,0-18,Male,Myntra,1000-5000,Laptop,Credit Card,Weekly,10%,Groceries
U2321,19-30,Male,Flipkart,1000-5000,Laptop,UPI,Weekly,20%,Clothing
U1509,0-18,Female,Flipkart,10000+,Tablet,Cash on Delivery,Monthly,20%,Clothing
U7306,19-30,Female,Amazon,5000-10000,Laptop,UPI,Monthly,10%,Clothing
U6252,19-30,Female,Myntra,1000-5000,Mobile,UPI,Weekly,20%,Electronics
U4039,19-30,Female,Amazon,5000-10000,Tablet,Credit Card,Monthly,30%,Groceries
U4438,19-30,Female,Amazon,1000-5000,Laptop,Credit Card,Weekly,20%,Electronics
U2622,0-18,Male,Flipkart,10000+,Laptop,Credit Card,Daily,20%,Electronics
U8023,19-30,Female,Flipkart,5000-10000,Laptop,Cash on Delivery,Daily,30%,Groceries
U5939,0-18,Male,Myntra,1000-5000,Laptop,UPI,Weekly,20%,Groceries
U2463,31-50,Female,Flipkart,1000-5000,Laptop,Cash on Delivery,Weekly,30%,Groceries
U9478,31-50,Female,Flipkart,10000+,Laptop,UPI,Monthly,30%,Electronics
U6108,19-30,Female,Myntra,5000-10000,Mobile,Credit Card,Monthly,10%,Groceries
U9424,19-30,Female,Amazon,5000-10000,Tablet,Cash on Delivery,Monthly,20%,Clothing
U1347,0-18,Male,Amazon,5000-10000,Laptop,UPI,Daily,30%,Groceries
U9538,31-50,Female,Myntra,10000+,Mobile,Cash on Delivery,Monthly,10%,Groceries
U4664,31-50,Male,Amazon,1000-5000,Laptop,Cash on Delivery,Monthly,10%,Clothing
U5872,31-50,Female,Myntra,10000+,Laptop,UPI,Weekly,30%,Clothing
U9076,19-30,Male,Myntra,5000-10000,Mobile,UPI,Monthly,10%,Groceries
U9023,31-50,Male,Myntra,5000-10000,Mobile,UPI,Monthly,10%,Electronics
U2990,31-50,Female,Flipkart,10000+,Laptop,UPI,Weekly,10%,Electronics
U9906,31-50,Male,Flipkart,10000+,Mobile,Cash on Delivery,Monthly,20%,Clothing
U8085,0-18,Female,Myntra,5000-10000,Mobile,Cash on Delivery,Weekly,30%,Electronics
U5096,31-50,Male,Amazon,1000-5000,Tablet,UPI,Weekly,20%,Clothing
U7845,19-30,Male,Flipkart,5000-10000,Laptop,Credit Card,Monthly,20%,Clothing
U1214,31-50,Male,Amazon,5000-10000,Mobile,Credit Card,Weekly,30%,Groceries
U6405,31-50,Male,Myntra,5000-10000,Laptop,Credit Card,Weekly,10%,Groceries
U8655,0-18,Female,Amazon,5000-10000,Laptop,Credit Card,Weekly,30%,Electronics
U9585,19-30,Male,Flipkart,10000+,Laptop,UPI,Weekly,20%,Groceries
U6120,0-18,Male,Myntra,5000-10000,Tablet,UPI,Weekly,30%,Clothing
U2762,19-30,Male,Myntra,10000+,Tablet,Credit Card,Weekly,20%,Groceries
U5441,0-18,Female,Amazon,5000-10000,Tablet,UPI,Monthly,20%,Electronics
U8343,31-50,Female,Amazon,1000-5000,Laptop,UPI,Daily,20%,Clothing
U8766,19-30,Female,Amazon,5000-10000,Mobile,Credit Card,Weekly,20%,Clothing
U1041,19-30,Female,Amazon,1000-5000,Tablet,Credit Card,Weekly,10%,Clothing
U6639,19-30,Male,Myntra,5000-10000,Mobile,Cash on Delivery,Daily,30%,Clothing
U5843,0-18,Female,Myntra,10000+,Mobile,UPI,Monthly,20%,Groceries
U9212,31-50,Male,Myntra,10000+,Tablet,UPI,Monthly,30%,Groceries
U4343,31-50,Female,Amazon,5000-10000,Mobile,Cash on Delivery,Monthly,30%,Groceries
U6790,19-30,Female,Flipkart,1000-5000,Laptop,UPI,Monthly,20%,Groceries
U8238,19-30,Male,Flipkart,5000-10000,Laptop,UPI,Monthly,10%,Clothing
U5202,31-50,Male,Amazon,10000+,Laptop,UPI,Weekly,30%,Clothing
U2839,19-30,Female,Myntra,5000-10000,Mobile,Cash on Delivery,Monthly,10%,Electronics
U7113,19-30,Male,Myntra,5000-10000,Tablet,Cash on Delivery,Weekly,30%,Clothing
U1159,0-18,Male,Flipkart,5000-10000,Mobile,Credit Card,Weekly,30%,Clothing
U8402,19-30,Male,Myntra,1000-5000,Tablet,Cash on Delivery,Weekly,20%,Clothing
U2140,0-18,Male,Amazon,10000+,Tablet,UPI,Weekly,30%,Groceries
U7633,19-30,Female,Myntra,1000-5000,Laptop,UPI,Monthly,20%,Clothing
U9600,0-18,Male,Flipkart,10000+,Mobile,Credit Card,Monthly,20%,Electronics
U4546,31-50,Female,Myntra,1000-5000,Tablet,UPI,Daily,10%,Clothing
U7647,19-30,Male,Amazon,10000+,Laptop,Credit Card,Weekly,30%,Clothing
U1703,31-50,Male,Myntra,10000+,Laptop,Cash on Delivery,Weekly,20%,Electronics
U6024,19-30,Male,Myntra,5000-10000,Laptop,Cash on Delivery,Daily,30%,Groceries
U3881,19-30,Female,Amazon,1000-5000,Tablet,UPI,Daily,10%,Groceries
U1478,0-18,Female,Amazon,1000-5000,Laptop,Cash on Delivery,Weekly,20%,Clothing
U6512,0-18,Female,Flipkart,1000-5000,Tablet,UPI,Monthly,10%,Clothing
U5318,19-30,Male,Myntra,5000-10000,Mobile,UPI,Weekly,10%,Clothing
U5307,31-50,Female,Myntra,10000+,Tablet,UPI,Daily,10%,Clothing
U7455,19-30,Female,Flipkart,1000-5000,Tablet,Cash on Delivery,Daily,20%,Clothing
U5272,0-18,Male,Amazon,10000+,Tablet,Cash on Delivery,Monthly,30%,Clothing
U5481,19-30,Female,Amazon,5000-10000,Laptop,UPI,Monthly,10%,Groceries
U5013,31-50,Female,Flipkart,10000+,Laptop,Credit Card,Daily,30%,Groceries
U2447,31-50,Female,Myntra,5000-10000,Laptop,Credit Card,Monthly,10%,Clothing
U9095,31-50,Female,Flipkart,5000-10000,Tablet,UPI,Weekly,10%,Groceries
U3523,19-30,Female,Myntra,5000-10000,Tablet,Cash on Delivery,Monthly,30%,Clothing
U6021,0-18,Female,Flipkart,5000-10000,Tablet,Cash on Delivery,Monthly,20%,Groceries
U6204,19-30,Male,Amazon,10000+,Tablet,Credit Card,Monthly,20%,Clothing
U1498,31-50,Male,Amazon,5000-10000,Tablet,Credit Card,Daily,20%,Groceries
U6384,31-50,Male,Myntra,10000+,Tablet,Credit Card,Weekly,20%,Groceries
U1423,31-50,Female,Flipkart,1000-5000,Laptop,Cash on Delivery,Monthly,30%,Groceries
U2055,0-18,Male,Myntra,10000+,Laptop,Credit Card,Daily,10%,Groceries
U2103,0-18,Female,Amazon,5000-10000,Mobile,Cash on Delivery,Weekly,30%,Groceries
U7259,31-50,Female,Amazon,10000+,Laptop,UPI,Weekly,20%,Groceries
U7912,31-50,Male,Flipkart,10000+,Tablet,Cash on Delivery,Daily,10%,Electronics
U1824,0-18,Female,Flipkart,5000-10000,Tablet,Cash on Delivery,Daily,30%,Groceries
U4867,19-30,Male,Amazon,5000-10000,Tablet,Cash on Delivery,Monthly,20%,Groceries
U9607,19-30,Male,Amazon,10000+,Tablet,UPI,Daily,30%,Groceries
U5549,19-30,Male,Amazon,10000+,Mobile,Cash on Delivery,Daily,20%,Electronics
U8535,19-30,Male,Flipkart,10000+,Laptop,Credit Card,Daily,30%,Electronics
U1268,31-50,Female,Amazon,1000-5000,Tablet,Cash on Delivery,Monthly,10%,Groceries
U8325,19-30,Male,Flipkart,1000-5000,Tablet,Credit Card,Weekly,10%,Groceries
U1227,31-50,Female,Flipkart,5000-10000,Laptop,Cash on Delivery,Weekly,10%,Clothing
U7601,19-30,Female,Myntra,5000-10000,Laptop,Cash on Delivery,Monthly,20%,Electronics
U5816,0-18,Male,Flipkart,5000-10000,Tablet,Credit Card,Weekly,20%,Groceries
U3306,31-50,Male,Myntra,5000-10000,Mobile,UPI,Weekly,30%,Electronics
U7357,0-18,Male,Flipkart,10000+,Laptop,Credit Card,Daily,10%,Electronics
U5466,19-30,Male,Flipkart,10000+,Laptop,Cash on Delivery,Monthly,10%,Groceries
U2529,31-50,Male,Flipkart,10000+,Mobile,Cash on Delivery,Weekly,30%,Groceries
U5399,31-50,Female,Myntra,5000-10000,Tablet,UPI,Monthly,30%,Groceries
U6093,31-50,Female,Myntra,1000-5000,Tablet,UPI,Weekly,30%,Electronics
U3247,31-50,Female,Flipkart,10000+,Tablet,Credit Card,Daily,20%,Electronics
U1589,19-30,Male,Myntra,5000-10000,Tablet,Cash on Delivery,Daily,30%,Electronics
U2898,31-50,Male,Flipkart,10000+,Laptop,Cash on Delivery,Weekly,10%,Electronics
U7885,31-50,Female,Myntra,5000-10000,Mobile,Credit Card,Weekly,30%,Groceries
U5692,31-50,Female,Amazon,1000-5000,Mobile,UPI,Monthly,30%,Groceries
U2777,31-50,Male,Flipkart,1000-5000,Laptop,UPI,Daily,10%,Clothing
U7118,0-18,Female,Amazon,1000-5000,Tablet,Credit Card,Monthly,10%,Clothing
U7249,19-30,Female,Flipkart,1000-5000,Mobile,Credit Card,Monthly,20%,Electronics
U2210,19-30,Female,Flipkart,5000-10000,Mobile,Credit Card,Monthly,30%,Electronics
U5106,0-18,Female,Flipkart,10000+,Mobile,UPI,Monthly,10%,Groceries
U4409,31-50,Female,Myntra,10000+,Laptop,Credit Card,Weekly,10%,Groceries
U5270,0-18,Male,Flipkart,10000+,Mobile,Cash on Delivery,Weekly,10%,Electronics
U9292,19-30,Male,Amazon,1000-5000,Laptop,UPI,Monthly,10%,Clothing
U5669,31-50,Male,Amazon,10000+,Laptop,Cash on Delivery,Monthly,30%,Electronics
U5541,31-50,Male,Amazon,1000-5000,Mobile,Cash on Delivery,Daily,30%,Clothing
U3198,0-18,Male,Flipkart,5000-10000,Laptop,Credit Card,Daily,10%,Clothing
U1811,0-18,Female,Myntra,5000-10000,Mobile,Cash on Delivery,Monthly,20%,Electronics
U9242,19-30,Male,Myntra,10000+,Laptop,UPI,Daily,10%,Groceries
U3820,19-30,Male,Myntra,1000-5000,Mobile,Credit Card,Monthly,20%,Groceries
U8963,19-30,Male,Flipkart,1000-5000,Mobile,Credit Card,Daily,30%,Groceries
U4624,31-50,Female,Amazon,10000+,Tablet,UPI,Daily,10%,Groceries
U8596,31-50,Male,Amazon,1000-5000,Laptop,Credit Card,Weekly,20%,Groceries
U7368,19-30,Female,Myntra,5000-10000,Mobile,Credit Card,Weekly,10%,Electronics
U2037,0-18,Female,Myntra,1000-5000,Laptop,Cash on Delivery,Weekly,30%,Electronics
U8018,31-50,Female,Myntra,5000-10000,Mobile,Cash on Delivery,Daily,10%,Electronics
U3222,31-50,Male,Flipkart,5000-10000,Laptop,UPI,Monthly,20%,Clothing
U7234,31-50,Female,Amazon,1000-5000,Tablet,Cash on Delivery,Weekly,30%,Clothing
U9990,0-18,Female,Amazon,10000+,Laptop,Cash on Delivery,Monthly,20%,Electronics
U2526,31-50,Female,Amazon,5000-10000,Mobile,Credit Card,Weekly,10%,Groceries
U6267,31-50,Female,Flipkart,5000-10000,Mobile,Credit Card,Daily,30%,Clothing
U5908,31-50,Female,Myntra,5000-10000,Tablet,UPI,Weekly,20%,Clothing
U6042,19-30,Female,Amazon,1000-5000,Tablet,Credit Card,Monthly,20%,Electronics
U6332,0-18,Female,Amazon,5000-10000,Mobile,Cash on Delivery,Weekly,30%,Groceries
U9482,0-18,Female,Flipkart,10000+,Laptop,Credit Card,Weekly,10%,Electronics
U2103,31-50,Male,Amazon,1000-5000,Tablet,Credit Card,Daily,20%,Clothing
U3748,31-50,Male,Myntra,5000-10000,Laptop,Cash on Delivery,Weekly,20%,Electronics
U3286,19-30,Female,Flipkart,1000-5000,Laptop,Credit Card,Weekly,10%,Groceries
U1452,0-18,Male,Myntra,1000-5000,Laptop,UPI,Weekly,20%,Electronics
U4826,19-30,Female,Amazon,1000-5000,Tablet,UPI,Daily,30%,Clothing
U5471,0-18,Female,Amazon,5000-10000,Tablet,Cash on Delivery,Daily,10%,Clothing
U5497,19-30,Male,Myntra,5000-10000,Mobile,UPI,Weekly,10%,Electronics
U6865,19-30,Female,Amazon,10000+,Tablet,Cash on Delivery,Monthly,30%,Electronics
U4481,31-50,Male,Amazon,5000-10000,Tablet,Cash on Delivery,Monthly,30%,Clothing
U3686,31-50,Female,Myntra,10000+,Tablet,Cash on Delivery,Monthly,10%,Electronics
U5988,19-30,Male,Amazon,5000-10000,Mobile,Credit Card,Daily,20%,Groceries
U7381,19-30,Male,Amazon,5000-10000,Mobile,UPI,Daily,10%,Clothing
U8692,0-18,Male,Myntra,5000-10000,Tablet,UPI,Weekly,10%,Electronics
U8527,31-50,Female,Myntra,5000-10000,Mobile,Cash on Delivery,Monthly,20%,Electronics
U8093,19-30,Male,Amazon,10000+,Mobile,UPI,Monthly,10%,Clothing
U1101,19-30,Male,Amazon,5000-10000,Laptop,UPI,Weekly,10%,Groceries
U9227,31-50,Female,Amazon,5000-10000,Tablet,Cash on Delivery,Monthly,10%,Groceries
U5199,31-50,Male,Amazon,1000-5000,Laptop,Credit Card,Monthly,30%,Clothing
U2610,0-18,Male,Amazon,1000-5000,Mobile,Cash on Delivery,Monthly,20%,Groceries
U5514,31-50,Female,Myntra,10000+,Tablet,Credit Card,Daily,10%,Clothing
U9082,19-30,Female,Amazon,10000+,Mobile,Credit Card,Daily,30%,Clothing
U3036,19-30,Male,Amazon,5000-10000,Tablet,Cash on Delivery,Daily,20%,Groceries
U4059,19-30,Female,Myntra,5000-10000,Laptop,Credit Card,Daily,10%,Groceries
U6011,19-30,Male,Amazon,10000+,Laptop,Credit Card,Monthly,10%,Clothing
U9017,19-30,Female,Flipkart,5000-10000,Tablet,Cash on Delivery,Weekly,30%,Electronics
U5780,19-30,Male,Amazon,5000-10000,Laptop,Credit Card,Monthly,10%,Groceries
U8726,19-30,Male,Myntra,5000-10000,Laptop,Cash on Delivery,Weekly,20%,Electronics
U3801,19-30,Male,Amazon,10000+,Laptop,Cash on Delivery,Daily,30%,Electronics
U2112,0-18,Female,Myntra,5000-10000,Tablet,UPI,Monthly,30%,Groceries
U8245,0-18,Female,Flipkart,5000-10000,Laptop,Cash on Delivery,Weekly,20%,Clothing
U1547,31-50,Female,Myntra,5000-10000,Tablet,Credit Card,Monthly,30%,Groceries
U6926,0-18,Female,Amazon,1000-5000,Tablet,UPI,Weekly,20%,Clothing
U8534,31-50,Male,Myntra,10000+,Laptop,UPI,Weekly,20%,Clothing
U7960,31-50,Male,Flipkart,5000-10000,Mobile,Cash on Delivery,Daily,10%,Clothing
U8084,31-50,Male,Myntra,10000+,Laptop,Credit Card,Daily,10%,Groceries
U2279,31-50,Male,Flipkart,1000-5000,Tablet,UPI,Daily,30%,Groceries
U5148,31-50,Female,Flipkart,5000-10000,Laptop,UPI,Daily,10%,Electronics
U5731,31-50,Female,Flipkart,1000-5000,Mobile,UPI,Weekly,30%,Groceries
U9223,19-30,Male,Flipkart,10000+,Tablet,Cash on Delivery,Monthly,20%,Electronics
U7326,0-18,Female,Amazon,10000+,Mobile,Credit Card,Daily,10%,Electronics
U2705,31-50,Female,Flipkart,1000-5000,Mobile,UPI,Weekly,10%,Groceries
U1927,19-30,Male,Amazon,10000+,Mobile,Cash on Delivery,Daily,30%,Clothing
U9877,19-30,Female,Flipkart,10000+,Laptop,UPI,Monthly,20%,Electronics
U8115,0-18,Female,Myntra,1000-5000,Laptop,Credit Card,Weekly,30%,Electronics
U3585,19-30,Female,Amazon,10000+,Tablet,UPI,Daily,30%,Clothing
U5303,19-30,Male,Myntra,10000+,Tablet,Credit Card,Monthly,30%,Electronics
U6836,31-50,Female,Flipkart,5000-10000,Tablet,UPI,Daily,20%,Clothing
U1807,31-50,Female,Flipkart,5000-10000,Laptop,Cash on Delivery,Monthly,30%,Clothing
U1198,0-18,Female,Myntra,1000-5000,Laptop,Credit Card,Monthly,30%,Clothing
U4294,31-50,Male,Flipkart,5000-10000,Mobile,UPI,Weekly,10%,Clothing
U8087,19-30,Male,Flipkart,1000-5000,Laptop,Cash on Delivery,Monthly,10%,Clothing
U3236,0-18,Female,Myntra,1000-5000,Tablet,UPI,Monthly,10%,Groceries
U4078,19-30,Male,Flipkart,5000-10000,Laptop,Cash on Delivery,Weekly,10%,Clothing
U3705,19-30,Female,Amazon,1000-5000,Tablet,Credit Card,Monthly,30%,Electronics
U9315,0-18,Male,Flipkart,10000+,Laptop,Credit Card,Monthly,30%,Clothing
U7853,19-30,Female,Amazon,10000+,Laptop,Credit Card,Monthly,10%,Groceries
U5218,0-18,Male,Flipkart,1000-5000,Tablet,UPI,Daily,30%,Clothing
U7793,19-30,Male,Myntra,10000+,Laptop,UPI,Monthly,20%,Groceries
U8575,31-50,Female,Flipkart,10000+,Mobile,UPI,Weekly,20%,Groceries
U8824,0-18,Female,Myntra,1000-5000,Laptop,UPI,Weekly,30%,Clothing
U7313,19-30,Female,Amazon,5000-10000,Mobile,Credit Card,Weekly,20%,Groceries
U7344,0-18,Male,Amazon,1000-5000,Laptop,Credit Card,Weekly,10%,Clothing
U1528,0-18,Female,Myntra,5000-10000,Tablet,UPI,Monthly,30%,Groceries
U8447,31-50,Male,Flipkart,1000-5000,Laptop,Credit Card,Monthly,10%,Clothing
U2565,0-18,Female,Myntra,10000+,Laptop,Credit Card,Daily,10%,Electronics
U8881,19-30,Male,Myntra,5000-10000,Mobile,Credit Card,Monthly,10%,Clothing
U6843,31-50,Male,Myntra,1000-5000,Tablet,Cash on Delivery,Weekly,10%,Clothing
U6283,0-18,Female,Myntra,5000-10000,Mobile,Credit Card,Monthly,10%,Electronics
U8366,0-18,Male,Amazon,10000+,Laptop,Cash on Delivery,Daily,10%,Clothing
U2445,19-30,Female,Myntra,5000-10000,Mobile,UPI,Daily,10%,Groceries
U2511,31-50,Male,Amazon,5000-10000,Mobile,Credit Card,Daily,10%,Electronics
U8292,0-18,Male,Flipkart,1000-5000,Tablet,Credit Card,Monthly,10%,Clothing
U2062,19-30,Female,Flipkart,5000-10000,Mobile,UPI,Daily,20%,Clothing
U4959,19-30,Male,Flipkart,5000-10000,Mobile,UPI,Monthly,20%,Clothing
U8588,0-18,Female,Myntra,10000+,Mobile,Credit Card,Monthly,20%,Electronics
U7615,31-50,Female,Flipkart,1000-5000,Mobile,UPI,Monthly,10%,Electronics
U8831,0-18,Male,Flipkart,5000-10000,Tablet,Credit Card,Monthly,30%,Clothing
U9415,0-18,Female,Amazon,1000-5000,Laptop,UPI,Daily,30%,Electronics
U2558,31-50,Female,Amazon,10000+,Laptop,UPI,Monthly,10%,Electronics
U1511,0-18,Female,Amazon,10000+,Tablet,Credit Card,Monthly,10%,Clothing
U3784,19-30,Male,Myntra,10000+,Laptop,Cash on Delivery,Daily,30%,Groceries
U1051,31-50,Female,Myntra,5000-10000,Tablet,UPI,Weekly,20%,Groceries
U9741,19-30,Male,Amazon,1000-5000,Mobile,UPI,Daily,30%,Electronics
U7873,19-30,Male,Flipkart,1000-5000,Tablet,Cash on Delivery,Weekly,10%,Clothing
U1635,19-30,Female,Flipkart,1000-5000,Tablet,UPI,Daily,20%,Clothing
U7225,19-30,Male,Flipkart,5000-10000,Laptop,UPI,Weekly,20%,Clothing
U9734,19-30,Female,Myntra,10000+,Tablet,Credit Card,Monthly,20%,Electronics
U2149,0-18,Male,Amazon,1000-5000,Mobile,UPI,Daily,10%,Electronics
U9320,0-18,Male,Amazon,10000+,Tablet,UPI,Daily,10%,Clothing
U2715,0-18,Female,Flipkart,5000-10000,Mobile,UPI,Monthly,10%,Electronics
U4670,19-30,Male,Amazon,5000-10000,Laptop,Cash on Delivery,Daily,30%,Groceries
U9963,19-30,Female,Flipkart,1000-5000,Laptop,UPI,Weekly,30%,Electronics
U8970,0-18,Male,Flipkart,1000-5000,Mobile,UPI,Weekly,10%,Electronics
U2736,31-50,Female,Myntra,5000-10000,Tablet,Cash on Delivery,Weekly,20%,Groceries
U1021,19-30,Male,Flipkart,10000+,Tablet,UPI,Weekly,30%,Electronics
U7109,0-18,Male,Flipkart,10000+,Mobile,UPI,Daily,30%,Groceries
U7254,0-18,Female,Myntra,10000+,Laptop,Cash on Delivery,Monthly,20%,Electronics
U9410,0-18,Male,Flipkart,10000+,Mobile,Cash on Delivery,Monthly,10%,Clothing
U5893,19-30,Male,Amazon,1000-5000,Mobile,UPI,Monthly,10%,Groceries
U8812,0-18,Female,Amazon,10000+,Mobile,Cash on Delivery,Weekly,30%,Electronics
U7076,0-18,Male,Amazon,10000+,Mobile,Credit Card,Monthly,10%,Electronics
U1758,19-30,Male,Myntra,5000-10000,Tablet,Credit Card,Weekly,10%,Groceries
U9459,31-50,Female,Flipkart,10000+,Mobile,UPI,Monthly,30%,Electronics
U6524,19-30,Female,Amazon,5000-10000,Tablet,Credit Card,Weekly,20%,Electronics
U3154,0-18,Male,Amazon,10000+,Laptop,UPI,Monthly,10%,Groceries
U2719,19-30,Male,Amazon,10000+,Tablet,Credit Card,Weekly,10%,Electronics
U4912,19-30,Female,Flipkart,10000+,Laptop,UPI,Monthly,30%,Electronics
U7127,19-30,Female,Myntra,10000+,Laptop,Credit Card,Daily,20%,Electronics
U6993,0-18,Female,Amazon,10000+,Tablet,UPI,Weekly,20%,Clothing
U4041,19-30,Female,Amazon,10000+,Tablet,Cash on Delivery,Monthly,10%,Groceries
U7717,19-30,Male,Amazon,10000+,Tablet,UPI,Weekly,10%,Clothing
U5490,0-18,Male,Myntra,1000-5000,Laptop,UPI,Daily,20%,Clothing
U2293,0-18,Male,Flipkart,10000+,Mobile,UPI,Weekly,10%,Groceries
U9275,31-50,Male,Amazon,1000-5000,Laptop,Cash on Delivery,Monthly,30%,Clothing
